method,sample_size,run,area
uniform_square,100,1,0.96
uniform_square,100,2,1.92
uniform_square,100,3,1.12
uniform_square,100,4,1.44
uniform_square,100,5,1.92
uniform_square,100,6,1.12
uniform_square,100,7,2.4
uniform_square,100,8,2.08
uniform_square,100,9,1.92
uniform_square,100,10,0.96
uniform_square,100,11,1.6
uniform_square,100,12,1.6
uniform_square,100,13,1.76
uniform_square,100,14,1.12
uniform_square,100,15,0.96
uniform_square,100,16,1.12
uniform_square,100,17,1.12
uniform_square,100,18,1.76
uniform_square,100,19,0.32
uniform_square,100,20,0.96
uniform_square,100,21,1.28
uniform_square,100,22,2.4
uniform_square,100,23,1.44
uniform_square,100,24,0.96
uniform_square,100,25,2.4
uniform_square,100,26,1.76
uniform_square,100,27,0.64
uniform_square,100,28,1.44
uniform_square,100,29,1.44
uniform_square,100,30,1.76
uniform_square,100,31,1.28
uniform_square,100,32,1.92
uniform_square,100,33,1.6
uniform_square,100,34,1.12
uniform_square,100,35,0.64
uniform_square,100,36,1.92
uniform_square,100,37,1.76
uniform_square,100,38,1.76
uniform_square,100,39,1.6
uniform_square,100,40,1.28
uniform_square,100,41,2.08
uniform_square,100,42,1.92
uniform_square,100,43,2.4
uniform_square,100,44,0.96
uniform_square,100,45,1.6
uniform_square,100,46,1.6
uniform_square,100,47,1.28
uniform_square,100,48,1.12
uniform_square,100,49,1.6
uniform_square,100,50,1.76
uniform_square,100,51,1.28
uniform_square,100,52,2.24
uniform_square,100,53,1.92
uniform_square,100,54,1.92
uniform_square,100,55,1.44
uniform_square,100,56,2.08
uniform_square,100,57,2.08
uniform_square,100,58,1.44
uniform_square,100,59,1.92
uniform_square,100,60,1.76
uniform_square,100,61,1.6
uniform_square,100,62,1.6
uniform_square,100,63,1.12
uniform_square,100,64,0.8
uniform_square,100,65,1.44
uniform_square,100,66,1.28
uniform_square,100,67,1.12
uniform_square,100,68,1.28
uniform_square,100,69,0.8
uniform_square,100,70,2.08
uniform_square,100,71,1.76
uniform_square,100,72,1.6
uniform_square,100,73,2.08
uniform_square,100,74,1.44
uniform_square,100,75,1.44
uniform_square,100,76,1.44
uniform_square,100,77,1.44
uniform_square,100,78,1.12
uniform_square,100,79,1.6
uniform_square,100,80,1.6
uniform_square,100,81,1.28
uniform_square,100,82,1.92
uniform_square,100,83,0.64
uniform_square,100,84,1.6
uniform_square,100,85,1.92
uniform_square,100,86,1.44
uniform_square,100,87,1.92
uniform_square,100,88,1.12
uniform_square,100,89,1.6
uniform_square,100,90,1.44
uniform_square,100,91,0.64
uniform_square,100,92,1.28
uniform_square,100,93,1.44
uniform_square,100,94,1.44
uniform_square,100,95,2.4
uniform_square,100,96,2.4
uniform_square,100,97,1.6
uniform_square,100,98,1.92
uniform_square,100,99,1.6
uniform_square,100,100,1.28
uniform_circle,100,1,1.3194689145077134
uniform_circle,100,2,1.570796326794897
uniform_circle,100,3,1.6964600329384887
uniform_circle,100,4,1.6964600329384887
uniform_circle,100,5,1.633628179866693
uniform_circle,100,6,1.3194689145077134
uniform_circle,100,7,1.9477874452256723
uniform_circle,100,8,1.4451326206513053
uniform_circle,100,9,1.5079644737231013
uniform_circle,100,10,1.5079644737231013
uniform_circle,100,11,1.3823007675795094
uniform_circle,100,12,1.633628179866693
uniform_circle,100,13,1.2566370614359175
uniform_circle,100,14,1.4451326206513053
uniform_circle,100,15,2.010619298297468
