method,run,samples,area,mean_area
uniform_square,1,40000,1.5172,1.5218479999999999
uniform_square,2,40000,1.5104,1.5218479999999999
uniform_square,3,40000,1.508,1.5218479999999999
uniform_square,4,40000,1.5328,1.5218479999999999
uniform_square,5,40000,1.5136,1.5218479999999999
uniform_square,6,40000,1.5028,1.5218479999999999
uniform_square,7,40000,1.5252,1.5218479999999999
uniform_square,8,40000,1.5448,1.5218479999999999
uniform_square,9,40000,1.5368,1.5218479999999999
uniform_square,10,40000,1.524,1.5218479999999999
uniform_square,11,40000,1.504,1.5218479999999999
uniform_square,12,40000,1.5108,1.5218479999999999
uniform_square,13,40000,1.546,1.5218479999999999
uniform_square,14,40000,1.5208,1.5218479999999999
uniform_square,15,40000,1.5532,1.5218479999999999
uniform_square,16,40000,1.5176,1.5218479999999999
uniform_square,17,40000,1.5316,1.5218479999999999
uniform_square,18,40000,1.5352,1.5218479999999999
uniform_square,19,40000,1.5156,1.5218479999999999
uniform_square,20,40000,1.4948,1.5218479999999999
uniform_square,21,40000,1.5148,1.5218479999999999
uniform_square,22,40000,1.5048,1.5218479999999999
uniform_square,23,40000,1.5548,1.5218479999999999
uniform_square,24,40000,1.5596,1.5218479999999999
uniform_square,25,40000,1.5328,1.5218479999999999
uniform_square,26,40000,1.5388,1.5218479999999999
uniform_square,27,40000,1.5296,1.5218479999999999
uniform_square,28,40000,1.4972,1.5218479999999999
uniform_square,29,40000,1.4936,1.5218479999999999
uniform_square,30,40000,1.526,1.5218479999999999
uniform_square,31,40000,1.5368,1.5218479999999999
uniform_square,32,40000,1.5084,1.5218479999999999
uniform_square,33,40000,1.5656,1.5218479999999999
uniform_square,34,40000,1.4784,1.5218479999999999
uniform_square,35,40000,1.4952,1.5218479999999999
uniform_square,36,40000,1.4796,1.5218479999999999
uniform_square,37,40000,1.4928,1.5218479999999999
uniform_square,38,40000,1.5416,1.5218479999999999
uniform_square,39,40000,1.534,1.5218479999999999
uniform_square,40,40000,1.5352,1.5218479999999999
uniform_square,41,40000,1.5008,1.5218479999999999
uniform_square,42,40000,1.568,1.5218479999999999
uniform_square,43,40000,1.5432,1.5218479999999999
uniform_square,44,40000,1.5372,1.5218479999999999
uniform_square,45,40000,1.5156,1.5218479999999999
uniform_square,46,40000,1.4972,1.5218479999999999
uniform_square,47,40000,1.5484,1.5218479999999999
uniform_square,48,40000,1.5272,1.5218479999999999
uniform_square,49,40000,1.4848,1.5218479999999999
uniform_square,50,40000,1.5396,1.5218479999999999
uniform_square,51,40000,1.552,1.5218479999999999
uniform_square,52,40000,1.4928,1.5218479999999999
uniform_square,53,40000,1.4748,1.5218479999999999
uniform_square,54,40000,1.5028,1.5218479999999999
uniform_square,55,40000,1.5084,1.5218479999999999
uniform_square,56,40000,1.5372,1.5218479999999999
uniform_square,57,40000,1.4908,1.5218479999999999
uniform_square,58,40000,1.5076,1.5218479999999999
uniform_square,59,40000,1.5376,1.5218479999999999
uniform_square,60,40000,1.5132,1.5218479999999999
uniform_square,61,40000,1.5056,1.5218479999999999
uniform_square,62,40000,1.5248,1.5218479999999999
uniform_square,63,40000,1.5564,1.5218479999999999
uniform_square,64,40000,1.5432,1.5218479999999999
uniform_square,65,40000,1.4952,1.5218479999999999
uniform_square,66,40000,1.5372,1.5218479999999999
uniform_square,67,40000,1.5348,1.5218479999999999
uniform_square,68,40000,1.5076,1.5218479999999999
uniform_square,69,40000,1.4592,1.5218479999999999
uniform_square,70,40000,1.546,1.5218479999999999
uniform_square,71,40000,1.5052,1.5218479999999999
uniform_square,72,40000,1.5148,1.5218479999999999
uniform_square,73,40000,1.5484,1.5218479999999999
