method,num_samples,run,iterations,area
uniform_square,1000000,1,100,1.54832
uniform_square,1000000,2,100,1.5544
uniform_square,1000000,3,100,1.544256
uniform_square,1000000,4,100,1.555152
uniform_square,1000000,5,100,1.548512
uniform_square,1000000,6,100,1.548176
uniform_square,1000000,7,100,1.551088
uniform_square,1000000,8,100,1.550304
uniform_square,1000000,9,100,1.54272
uniform_square,1000000,10,100,1.546848
uniform_square,1000000,11,100,1.551392
uniform_square,1000000,12,100,1.544656
uniform_square,1000000,13,100,1.54104
uniform_square,1000000,14,100,1.543808
uniform_square,1000000,15,100,1.543504
uniform_square,1000000,16,100,1.543952
uniform_square,1000000,17,100,1.545536
uniform_square,1000000,18,100,1.549264
uniform_square,1000000,19,100,1.546688
uniform_square,1000000,20,100,1.546144
uniform_square,1000000,21,100,1.545264
uniform_square,1000000,22,100,1.544336
uniform_square,1000000,23,100,1.54792
uniform_square,1000000,24,100,1.550224
uniform_square,1000000,25,100,1.545648
uniform_square,1000000,26,100,1.536784
uniform_square,1000000,27,100,1.541232
uniform_square,1000000,28,100,1.549728
uniform_square,1000000,29,100,1.554672
uniform_square,1000000,30,100,1.55464
uniform_square,1000000,31,100,1.544656
uniform_square,1000000,32,100,1.555376
uniform_square,1000000,33,100,1.54912
uniform_square,1000000,34,100,1.543136
uniform_square,1000000,35,100,1.549056
uniform_square,1000000,36,100,1.546576
uniform_square,1000000,37,100,1.546848
uniform_square,1000000,38,100,1.544336
uniform_square,1000000,39,100,1.544688
uniform_square,1000000,40,100,1.546368
uniform_square,1000000,41,100,1.549952
uniform_square,1000000,42,100,1.547568
uniform_square,1000000,43,100,1.541904
uniform_square,1000000,44,100,1.551856
uniform_square,1000000,45,100,1.550176
uniform_square,1000000,46,100,1.539744
uniform_square,1000000,47,100,1.544416
uniform_square,1000000,48,100,1.537248
uniform_square,1000000,49,100,1.547024
uniform_square,1000000,50,100,1.54936
uniform_square,1000000,51,100,1.55152
uniform_square,1000000,52,100,1.54216
uniform_square,1000000,53,100,1.552784
uniform_square,1000000,54,100,1.543376
uniform_square,1000000,55,100,1.54392
uniform_square,1000000,56,100,1.54424
uniform_square,1000000,57,100,1.546256
uniform_square,1000000,58,100,1.543552
uniform_square,1000000,59,100,1.543744
uniform_square,1000000,60,100,1.554768
uniform_square,1000000,61,100,1.545888
uniform_square,1000000,62,100,1.54664
uniform_square,1000000,63,100,1.540304
uniform_square,1000000,64,100,1.545456
uniform_square,1000000,65,100,1.549328
uniform_square,1000000,66,100,1.546304
uniform_square,1000000,67,100,1.545472
uniform_square,1000000,68,100,1.544608
uniform_square,1000000,69,100,1.550096
uniform_square,1000000,70,100,1.547024
uniform_square,1000000,71,100,1.552048
uniform_square,1000000,72,100,1.551952
uniform_square,1000000,73,100,1.556896
uniform_square,1000000,74,100,1.550608
uniform_square,1000000,75,100,1.549488
uniform_square,1000000,76,100,1.549152
uniform_square,1000000,77,100,1.558624
uniform_square,1000000,78,100,1.547296
uniform_square,1000000,79,100,1.535008
uniform_square,1000000,80,100,1.544128
uniform_square,1000000,81,100,1.546576
uniform_square,1000000,82,100,1.55904
uniform_square,1000000,83,100,1.551648
uniform_square,1000000,84,100,1.551456
uniform_square,1000000,85,100,1.54752
uniform_square,1000000,86,100,1.544896
uniform_square,1000000,87,100,1.552752
uniform_square,1000000,88,100,1.55024
uniform_square,1000000,89,100,1.544064
uniform_square,1000000,90,100,1.543248
uniform_square,1000000,91,100,1.547376
uniform_square,1000000,92,100,1.54488
uniform_square,1000000,93,100,1.550992
uniform_square,1000000,94,100,1.553296
uniform_square,1000000,95,100,1.554432
uniform_square,1000000,96,100,1.546624
uniform_square,1000000,97,100,1.548832
uniform_square,1000000,98,100,1.556912
uniform_square,1000000,99,100,1.546192
uniform_square,1000000,100,100,1.544288
uniform_square,1000000,1,200,1.535536
uniform_square,1000000,2,200,1.531168
uniform_square,1000000,3,200,1.526464
uniform_square,1000000,4,200,1.526048
uniform_square,1000000,5,200,1.5336
uniform_square,1000000,6,200,1.519584
uniform_square,1000000,7,200,1.530448
uniform_square,1000000,8,200,1.522928
uniform_square,1000000,9,200,1.527392
uniform_square,1000000,10,200,1.524816
uniform_square,1000000,11,200,1.519232
uniform_square,1000000,12,200,1.524752
uniform_square,1000000,13,200,1.526128
uniform_square,1000000,14,200,1.525248
uniform_square,1000000,15,200,1.531984
uniform_square,1000000,16,200,1.525808
uniform_square,1000000,17,200,1.534528
uniform_square,1000000,18,200,1.52536
uniform_square,1000000,19,200,1.533488
uniform_square,1000000,20,200,1.525216
uniform_square,1000000,21,200,1.52048
uniform_square,1000000,22,200,1.530208
uniform_square,1000000,23,200,1.522928
uniform_square,1000000,24,200,1.525344
uniform_square,1000000,25,200,1.52576
uniform_square,1000000,26,200,1.52472
uniform_square,1000000,27,200,1.527184
uniform_square,1000000,28,200,1.534896
uniform_square,1000000,29,200,1.52224
uniform_square,1000000,30,200,1.529568
uniform_square,1000000,31,200,1.526496
uniform_square,1000000,32,200,1.528064
uniform_square,1000000,33,200,1.531616
uniform_square,1000000,34,200,1.524736
uniform_square,1000000,35,200,1.518832
uniform_square,1000000,36,200,1.5276
uniform_square,1000000,37,200,1.535216
uniform_square,1000000,38,200,1.538112
uniform_square,1000000,39,200,1.529424
uniform_square,1000000,40,200,1.53408
uniform_square,1000000,41,200,1.52552
uniform_square,1000000,42,200,1.530368
uniform_square,1000000,43,200,1.528704
uniform_square,1000000,44,200,1.52424
uniform_square,1000000,45,200,1.52496
uniform_square,1000000,46,200,1.53456
uniform_square,1000000,47,200,1.529632
uniform_square,1000000,48,200,1.530912
uniform_square,1000000,49,200,1.53064
uniform_square,1000000,50,200,1.527024
uniform_square,1000000,51,200,1.528112
uniform_square,1000000,52,200,1.5288
uniform_square,1000000,53,200,1.520368
uniform_square,1000000,54,200,1.523776
uniform_square,1000000,55,200,1.522704
uniform_square,1000000,56,200,1.526384
uniform_square,1000000,57,200,1.525568
uniform_square,1000000,58,200,1.524496
uniform_square,1000000,59,200,1.528672
uniform_square,1000000,60,200,1.524928
uniform_square,1000000,61,200,1.525392
uniform_square,1000000,62,200,1.534384
uniform_square,1000000,63,200,1.530496
uniform_square,1000000,64,200,1.529424
uniform_square,1000000,65,200,1.519488
uniform_square,1000000,66,200,1.52488
uniform_square,1000000,67,200,1.522464
uniform_square,1000000,68,200,1.525072
uniform_square,1000000,69,200,1.528832
uniform_square,1000000,70,200,1.52616
uniform_square,1000000,71,200,1.525392
uniform_square,1000000,72,200,1.526528
uniform_square,1000000,73,200,1.53048
uniform_square,1000000,74,200,1.525328
uniform_square,1000000,75,200,1.523392
uniform_square,1000000,76,200,1.528576
uniform_square,1000000,77,200,1.533856
uniform_square,1000000,78,200,1.528624
uniform_square,1000000,79,200,1.536656
uniform_square,1000000,80,200,1.526176
uniform_square,1000000,81,200,1.5284
uniform_square,1000000,82,200,1.521952
uniform_square,1000000,83,200,1.527568
uniform_square,1000000,84,200,1.52024
uniform_square,1000000,85,200,1.528784
uniform_square,1000000,86,200,1.524304
uniform_square,1000000,87,200,1.531664
uniform_square,1000000,88,200,1.533808
uniform_square,1000000,89,200,1.525616
uniform_square,1000000,90,200,1.527696
uniform_square,1000000,91,200,1.53904
uniform_square,1000000,92,200,1.522992
uniform_square,1000000,93,200,1.5224
uniform_square,1000000,94,200,1.530368
uniform_square,1000000,95,200,1.524576
uniform_square,1000000,96,200,1.534848
uniform_square,1000000,97,200,1.52368
uniform_square,1000000,98,200,1.520576
uniform_square,1000000,99,200,1.526208
uniform_square,1000000,100,200,1.530192
uniform_square,1000000,1,300,1.519488
uniform_square,1000000,2,300,1.514512
uniform_square,1000000,3,300,1.518368
uniform_square,1000000,4,300,1.520384
uniform_square,1000000,5,300,1.51688
uniform_square,1000000,6,300,1.514352
uniform_square,1000000,7,300,1.51648
uniform_square,1000000,8,300,1.522272
uniform_square,1000000,9,300,1.522576
uniform_square,1000000,10,300,1.527552
uniform_square,1000000,11,300,1.513408
uniform_square,1000000,12,300,1.528608
uniform_square,1000000,13,300,1.516992
uniform_square,1000000,14,300,1.520176
uniform_square,1000000,15,300,1.52
uniform_square,1000000,16,300,1.522432
uniform_square,1000000,17,300,1.523072
uniform_square,1000000,18,300,1.52224
uniform_square,1000000,19,300,1.521088
uniform_square,1000000,20,300,1.523072
uniform_square,1000000,21,300,1.522112
uniform_square,1000000,22,300,1.525728
uniform_square,1000000,23,300,1.526016
uniform_square,1000000,24,300,1.518672
uniform_square,1000000,25,300,1.515056
uniform_square,1000000,26,300,1.522624
uniform_square,1000000,27,300,1.523792
uniform_square,1000000,28,300,1.524336
uniform_square,1000000,29,300,1.515552
uniform_square,1000000,30,300,1.51816
uniform_square,1000000,31,300,1.515552
uniform_square,1000000,32,300,1.513872
uniform_square,1000000,33,300,1.519824
uniform_square,1000000,34,300,1.523808
uniform_square,1000000,35,300,1.521568
uniform_square,1000000,36,300,1.514288
uniform_square,1000000,37,300,1.521776
uniform_square,1000000,38,300,1.515776
uniform_square,1000000,39,300,1.515488
uniform_square,1000000,40,300,1.513424
uniform_square,1000000,41,300,1.52616
uniform_square,1000000,42,300,1.51248
uniform_square,1000000,43,300,1.517024
uniform_square,1000000,44,300,1.511264
uniform_square,1000000,45,300,1.514352
uniform_square,1000000,46,300,1.518672
uniform_square,1000000,47,300,1.516688
uniform_square,1000000,48,300,1.519936
uniform_square,1000000,49,300,1.51464
uniform_square,1000000,50,300,1.511568
uniform_square,1000000,51,300,1.510224
uniform_square,1000000,52,300,1.519312
uniform_square,1000000,53,300,1.514432
uniform_square,1000000,54,300,1.516368
uniform_square,1000000,55,300,1.514848
uniform_square,1000000,56,300,1.52784
uniform_square,1000000,57,300,1.523488
uniform_square,1000000,58,300,1.525712
uniform_square,1000000,59,300,1.527872
uniform_square,1000000,60,300,1.51432
uniform_square,1000000,61,300,1.513552
uniform_square,1000000,62,300,1.517232
uniform_square,1000000,63,300,1.522272
uniform_square,1000000,64,300,1.51992
uniform_square,1000000,65,300,1.523984
uniform_square,1000000,66,300,1.515424
uniform_square,1000000,67,300,1.527488
uniform_square,1000000,68,300,1.525808
uniform_square,1000000,69,300,1.523936
uniform_square,1000000,70,300,1.522304
uniform_square,1000000,71,300,1.51768
uniform_square,1000000,72,300,1.527984
uniform_square,1000000,73,300,1.516576
uniform_square,1000000,74,300,1.516336
uniform_square,1000000,75,300,1.51112
uniform_square,1000000,76,300,1.524688
uniform_square,1000000,77,300,1.519936
uniform_square,1000000,78,300,1.51968
uniform_square,1000000,79,300,1.521232
uniform_square,1000000,80,300,1.520192
uniform_square,1000000,81,300,1.5236
uniform_square,1000000,82,300,1.52704
uniform_square,1000000,83,300,1.51776
uniform_square,1000000,84,300,1.516768
uniform_square,1000000,85,300,1.510656
uniform_square,1000000,86,300,1.511728
uniform_square,1000000,87,300,1.514816
uniform_square,1000000,88,300,1.5188
uniform_square,1000000,89,300,1.52208
uniform_square,1000000,90,300,1.526064
uniform_square,1000000,91,300,1.521056
uniform_square,1000000,92,300,1.515104
uniform_square,1000000,93,300,1.52056
uniform_square,1000000,94,300,1.523312
uniform_square,1000000,95,300,1.519536
uniform_square,1000000,96,300,1.517392
uniform_square,1000000,97,300,1.5216
uniform_square,1000000,98,300,1.519744
uniform_square,1000000,99,300,1.516688
uniform_square,1000000,100,300,1.50944
uniform_square,1000000,1,400,1.524624
uniform_square,1000000,2,400,1.514384
uniform_square,1000000,3,400,1.510304
uniform_square,1000000,4,400,1.521456
uniform_square,1000000,5,400,1.516432
uniform_square,1000000,6,400,1.514112
uniform_square,1000000,7,400,1.51248
uniform_square,1000000,8,400,1.526832
uniform_square,1000000,9,400,1.510528
uniform_square,1000000,10,400,1.51488
uniform_square,1000000,11,400,1.52288
uniform_square,1000000,12,400,1.516336
uniform_square,1000000,13,400,1.514624
uniform_square,1000000,14,400,1.508208
uniform_square,1000000,15,400,1.51664
uniform_square,1000000,16,400,1.51584
uniform_square,1000000,17,400,1.517744
uniform_square,1000000,18,400,1.524896
uniform_square,1000000,19,400,1.514544
uniform_square,1000000,20,400,1.514128
uniform_square,1000000,21,400,1.516976
uniform_square,1000000,22,400,1.51608
uniform_square,1000000,23,400,1.520736
uniform_square,1000000,24,400,1.519344
uniform_square,1000000,25,400,1.51712
uniform_square,1000000,26,400,1.515808
uniform_square,1000000,27,400,1.516352
uniform_square,1000000,28,400,1.51504
uniform_square,1000000,29,400,1.52056
uniform_square,1000000,30,400,1.510192
uniform_square,1000000,31,400,1.511696
uniform_square,1000000,32,400,1.508816
uniform_square,1000000,33,400,1.516192
uniform_square,1000000,34,400,1.524352
uniform_square,1000000,35,400,1.52072
uniform_square,1000000,36,400,1.520112
uniform_square,1000000,37,400,1.51968
uniform_square,1000000,38,400,1.512736
uniform_square,1000000,39,400,1.520784
